,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Number of Maximal Cliques,Longest Maximal Clique
460,0.1254684955019556,0.9108819742001177,0.4150933981625567,62,574200,3
461,0.0941013716264667,0.6506299815715126,0.415093398162557,62,574200,3
462,0.0,0.26600301704077967,0.3257334059959954,62,574200,3
463,0.0,0.950010775145641,0.3257334059959955,62,574200,3
464,0.0,0.7988035506244126,0.2663127687520625,62,574200,3
465,0.0,0.5547246879336198,0.26631276875206267,62,574200,3
466,0.0,0.0,0.0,62,574200,3
467,1.0,1.0,0.0,62,574200,3
468,0.0,0.19549287141641447,0.2664899721507074,62,574200,3
469,0.0,0.8145536309017266,0.26648997215070747,62,574200,3
470,0.0,0.0,0.0,62,574200,3
471,1.0,1.0,0.0,62,574200,3
472,0.0,0.03206221311100865,0.014067421926741585,62,574200,3
473,0.0,0.2003888319438043,0.014067421926741588,62,574200,3
474,0.0,0.0,0.0,62,574200,3
475,1.0,1.0,0.0,62,574200,3
476,0.0,0.058030790107788444,0.26125752500199917,62,574200,3
477,0.0,0.725384876347356,0.2612575250019992,62,574200,3
478,0.0,0.9543658343622206,0.27240368867210696,62,574200,3
479,0.0,0.4970655387303232,0.27240368867210696,62,574200,3
480,0.0,0.7650430642364655,0.5860117741510965,62,574200,3
481,0.0,0.956303830295582,0.5860117741510965,62,574200,3
482,0.0,0.0,0.0,62,574200,3
483,1.0,1.0,0.0,62,574200,3
484,0.27867011563738797,0.6143405359167726,0.4499115478110669,62,574200,3
485,0.27867011563738797,0.8532507443288508,0.4499115478110672,62,574200,3
486,0.0,0.7872509868870081,0.3117632551475239,62,574200,3
487,0.0,0.5788610197698589,0.311763255147524,62,574200,3
488,0.0,0.7956492422860246,0.29842960979323874,62,574200,3
489,0.0,0.5683208873471606,0.29842960979323885,62,574200,3
490,0.0,0.9768593904323579,0.6111264963747741,62,574200,3
491,0.0,0.8721958843146054,0.6111264963747738,62,574200,3
492,0.0,0.9884646611616461,0.3494488144903051,62,574200,3
493,0.0,0.6336311930523373,0.34944881449030535,62,574200,3
494,0.0,0.5397065902693303,0.4764308229162168,62,574200,3
495,0.0,0.9637617683380899,0.4764308229162168,62,574200,3
496,0.0,0.8575331001585056,0.5691690721974038,62,574200,3
497,0.0,0.9321011958244627,0.5691690721974038,62,574200,3
498,0.0,0.8608006640897045,0.2965508055809151,62,574200,3
499,0.0,0.5816220703308814,0.2965508055809153,62,574200,3
500,0.0,0.9395237287394443,0.43475216539156986,62,574200,3
501,0.0,0.7117604005601851,0.4347521653915697,62,574200,3
502,0.0,0.038104647839208194,0.18144738746370245,62,574200,3
503,0.0,0.9526161959802045,0.1814473874637025,62,574200,3
504,0.0,0.2796546620429007,0.23520265432454537,62,574200,3
505,0.0,0.6355787773702288,0.23520265432454535,62,574200,3
506,0.0,0.8273102268961859,0.7028768728581869,62,574200,3
507,0.0,0.9848931272573642,0.7028768728581869,62,574200,3
508,0.0,0.2755851019033093,0.300935738858953,62,574200,3
509,0.0,0.8612034434478413,0.3009357388589531,62,574200,3
510,0.0,0.27207430746900574,0.2944858911872884,62,574200,3
511,0.0,0.8502322108406425,0.2944858911872884,62,574200,3
512,0.0,0.28710279541416983,0.2731032103297773,62,574200,3
513,0.0,0.7177569885354242,0.27310321032977736,62,574200,3
514,0.0,0.2953359161218052,0.2167288675041942,62,574200,3
515,0.0,0.5273855645032233,0.21672886750419426,62,574200,3
516,0.0,0.9543658343622206,0.2637924971239526,62,574200,3
517,0.0,0.5302032413123448,0.26379249712395264,62,574200,3
518,0.0,0.8273817933710541,0.5673720833805647,62,574200,3
519,0.0,0.9402065833761978,0.5673720833805642,62,574200,3
520,0.0,0.0,0.0,62,574200,3
521,1.0,1.0,0.0,62,574200,3
522,0.0,0.0,0.0,62,574200,3
523,1.0,1.0,0.0,62,574200,3
524,0.0,0.8273817933710541,0.5148634970710201,62,574200,3
525,0.0,0.8993280362728848,0.5148634970710199,62,574200,3
526,0.0,0.8273817933710541,0.4785696194953448,62,574200,3
527,0.0,0.827381793371054,0.47856961949534466,62,574200,3
